,DB,HC,Sil,hom,clust_model,emb_model
0,1.987503512913475,84.01072659027233,0.08309214842901635,0.1639709355438366,KMeans,ts2vec
0,2.0240429406413907,80.15090637151225,0.07926718145362704,0.15395777941658442,Agg,ts2vec
0,1.954198086018343,54.6171226587577,0.1233469278308132,0.09307085227522015,KMeans,PersImage_2
0,2.1078817384581856,51.17419999973524,0.08725916411591977,0.08799469847973966,Agg,PersImage_2
0,1.9181066684099528,39.956933829123145,0.07035085708847416,0.10894465112893546,KMeans,PersLandscape_1
0,2.0543009751571506,36.66636530460207,0.05178924415072756,0.10651254268077011,Agg,PersLandscape_1
0,1.1579653708980762,188.37047716097632,0.321772423867698,0.04582647510759299,KMeans,transformer_embds_sum_23
0,1.1340277999548296,184.0854806760324,0.3211493248280727,0.04392097159431809,Agg,transformer_embds_sum_23
0,1.2020125113467712,176.9106125205917,0.3121000778577706,0.03804030586879524,KMeans,transformer_embds3
0,1.1980220820454255,173.6402910336065,0.3057553476415984,0.04108591087130134,Agg,transformer_embds3
0,2.7584323247330818,24.47638086994425,0.05852441326732518,0.10140032286927603,KMeans,transformer_embds2
0,2.6660006085409105,23.0455887040996,0.04022036609995383,0.13860055546425756,Agg,transformer_embds2
0,1.1219490908112661,115.54985306444213,0.19408467941700175,0.15421538086102235,KMeans,table_finance_features
0,1.22925767927539,101.090507403482,0.16199801727749769,0.14719395895993276,Agg,table_finance_features
0,2.935186913790079,35.77733296383029,0.03727299289004108,0.24477410820427947,KMeans,autoencoder_mlp
0,2.7628472188748265,33.926176809371036,0.020054212740413593,0.2684792117938026,Agg,autoencoder_mlp
0,2.2798777907601413,22.778592178619824,0.0330947170888318,0.062482048174988696,KMeans,PersLandscape_2
0,2.5745238645674138,19.80777885231264,0.01214122780935988,0.06670785776103239,Agg,PersLandscape_2
0,2.1257777899392547,48.46082965068854,0.08895383139071315,0.33204721790908437,KMeans,tsfresh
0,2.097994790399177,45.59504941390723,0.08227503120385851,0.34864217813184606,Agg,tsfresh
0,3.199041556799805,3.9355934215294215,-0.009794784142212389,0.12663967759162903,KMeans,pca
0,1.8321620686407165,4.598209131618888,-0.0864756410644596,0.14580902743389515,Agg,pca
0,1.5460936399298826,101.95012424044025,0.13425460445764004,0.13162744937758666,KMeans,topo_features
0,1.5408261978890971,94.07481158869898,0.14280437935926305,0.12526988293011987,Agg,topo_features
0,2.0743197017482586,28.867833873084614,0.059237638828963914,0.23871174546057966,KMeans,autoencoder_conv
0,2.315668087781427,24.23106275659655,0.04019679348721531,0.21546310635000973,Agg,autoencoder_conv
0,0.87420398900648,561.3658848811555,0.4203022488232077,0.5337270949656089,KMeans,umap
0,0.8495124813933864,505.02228158524366,0.3911532816925394,0.5597628747139901,Agg,umap
0,3.239757791624376,3.942404819199915,0.017238689808709958,0.18154113463463056,KMeans,fastica
0,1.8669065457103775,4.62192005191503,-0.058815113975439696,0.153344020794037,Agg,fastica
0,1.358070784489096,155.43404798933722,0.27481448565445066,0.048209796711378525,KMeans,transformer_embds1
0,1.3715698129993659,155.70957661371332,0.26867775841164326,0.0477181212182028,Agg,transformer_embds1
0,0.9309046589039724,260.2497101368916,0.2987107429085754,0.13628966357329467,KMeans,autoencoder_lstm
0,1.0571464884945063,228.24041039060344,0.23772151670786584,0.13177698295883988,Agg,autoencoder_lstm
0,2.998858554675243,14.005781387145277,0.0312365125485007,0.34878560968778016,KMeans,transformer_embds_sum_all
0,2.578133298043583,13.606851727729968,0.007649464171093044,0.3914475338059184,Agg,transformer_embds_sum_all
0,0.9852529392232359,127.19314206080928,0.2309755878054541,0.29866749545910193,KMeans,tnse
0,1.1208785145549511,103.23083423733917,0.15555354111776395,0.26322605747078565,Agg,tnse
0,2.1600829282100587,38.085766876317344,0.11189421463354171,0.0918549223340634,KMeans,PersImage_1
0,2.095455651214245,35.29994741340886,0.04729804985313188,0.09043171782952883,Agg,PersImage_1
