,ts2vec,takens_one_BC_2,takens_one_PL_2,transformer_embds_sum_23,transformer_embds3,transformer_embds2,takens_mult_PI_0_sigma=0.0005,takens_mult_PL_2,takens_one_BC_1,table_finance_features,takens_mult_PI_1_sigma=0.0005,signal2vec_embds,autoencoder_mlp,takens_mult_PL_1,tsfresh,takens_one_BC_0,pca,takens_one_PI_0_sigma=0.0005,autoencoder_conv,takens_mult_BC_0,takens_one_PI_2_sigma=0.0005,takens_one_PI_1_sigma=0.0005,takens_mult_PI_2_sigma=0.0005,umap,fastica,transformer_embds1,takens_mult_BC_2,takens_one_PL_1,autoencoder_lstm,transformer_embds_sum_all,tnse,takens_mult_BC_1,tsclust_MSTcorr,tsclust_KShape,sectors
2020-01-02,0.006983383598515951,0.02092643539958368,0.010687759780108488,0.006309519906169651,0.00995139861209515,0.012844823021355771,-0.00345446247705064,0.00446457538590775,0.008739831442713678,-0.007585934575068199,-0.0037193936667021792,-0.007028931752717989,-0.0008215785896896997,0.016553494599499178,-0.008917847401597016,-0.007041304389951291,0.018092326238547007,-0.004730931718410341,0.01945736554221128,0.00603893373254818,0.009357608893766649,0.0032755803181553295,0.008449160200376112,0.00635797810077423,0.018092326238547007,0.003774528997011431,0.004734349594957241,0.015206547012521318,-0.0036775353613629496,0.00673415503489423,0.00498233941334089,-0.00045207152045213946,0.01071891299633751,0.015424454686182042,-0.0057465985625030965
2020-01-03,-0.01058481160257358,0.003106823723279359,0.004773830670648458,0.00810879293596604,0.006510509747141911,0.008719765269977323,0.005480475478718031,0.009300166136580771,0.00630200921969912,-0.00567562109271757,0.00117144490747908,0.00444927525937796,-0.0064560284095122305,0.0014238496048971198,-0.0013192561498217795,0.0035541283182563403,-0.0006682136122616914,-0.005037500512291041,0.01635454426705866,0.00595660832756275,0.0041894473048787705,0.008980003179987399,0.005619714291200011,-0.008328042962003745,-0.0006682136122616914,0.004808289232574401,-0.00019873233140889042,0.0034237539663363693,-0.00627639179991441,0.004035350583910319,-0.00288235510455201,-0.006454296031441981,0.01373401697652619,-0.00620773934255253,0.0010911186537045138
2020-01-06,0.014345645918259556,0.007962530461340659,0.01236355110749414,0.003400751786001801,0.0071018215608761905,0.007690958881661462,0.00025070630409711994,0.005262141993264991,0.006088881687395251,-0.0019306663661256746,-0.0027785753693823595,0.003517964437687576,0.004480259767226791,7.446791724215977e-05,-0.0007264651141610385,-0.00262038910393368,0.01655650059869558,-0.0053081913526493415,0.016656433940427668,0.00174090893731884,0.00395495086880994,0.00680695054470596,0.006201200111256931,0.0019148812640671187,0.01655650059869558,0.0035287504497923707,0.0018425940030368103,0.003939787736790661,-0.00296423292116003,0.00407951159031936,-0.0019299206766306297,0.0025416769988754603,0.0038706309111802397,-0.007992158734207831,0.0010488756509339594
2020-01-07,0.0035469807140626137,0.008167534997070007,0.006494351727345339,0.011758283080147213,0.011583907752501893,0.007833405656614893,-0.005265284805428831,0.004315511998346162,0.0044117961519871095,-0.001404499467970529,-0.008508604265575488,0.000708403632867618,0.002689202414165081,0.018307723735960138,0.0034110528655603143,-0.0036775197285858195,0.01724037245449053,-0.007845715782183281,0.015872736087497508,0.01394072392162906,-0.00407630727282869,0.00947244296748256,0.006733867087369102,0.0006613579683863733,0.01724037245449053,0.002277390104978741,-0.00699201461613182,0.010030389640224069,-0.00711106844985675,0.005700849809701031,-0.001417416946697299,-0.0006284175869658896,0.011956637870620452,0.017573693645029396,0.0022609052712320443
2020-01-08,0.0008441577475823336,0.01824891714904714,0.025954365017860477,0.016505789486698313,0.01689365331551621,0.012028191307571292,0.00101796119724411,0.023130398042471266,0.020397982600396547,0.0012935105072985349,0.006853540797957191,-0.004649477298490038,0.00883201800362161,0.01608515410454065,-0.0032016786004123617,0.003351446804355551,0.02181220368844251,0.0006224601145427696,0.001607140101203021,0.0169724848667943,0.00865469477969011,0.014503565702814069,0.014895871123626324,0.011536421451896322,0.02181220368844251,0.0068256627984832315,-0.0026309070234793205,0.01572306335957823,-0.00331796445690674,0.004411837819803611,0.0008605669380569807,0.0034409634321480296,0.012564482129271942,0.007137168637647072,-0.004039296906025233
2020-01-09,0.009687031144218103,0.00012048192935648974,-0.00455274116376813,0.0011751426080363007,0.0005728048809558602,0.00137575943796714,0.004711348715453791,-0.010942954185855922,-0.00632321409384193,0.006050590773163652,-0.00309895701419526,0.008338051102366758,0.0014234502005018397,6.891027155647017e-05,0.012806212668788028,-0.005267717240024401,-0.0030166732834201395,-0.00021688152333867007,-0.00206431698965299,-0.00046523136729913943,0.00517747476511581,-0.003660602728323269,0.003454317311839491,0.00991774036401516,-0.0030166732834201395,0.00375125748804141,0.005787911232401461,0.006597555030788408,0.00280287788915665,0.006438040583173801,0.00307278389698551,0.00538026093636537,-0.00474624913812367,0.005941738819055401,0.009468199832464084
2020-01-10,0.0017143061869160725,-0.0077322695049537,-0.00761513621267968,-0.0016454247011609203,-0.005783676961642291,0.0007946348141273001,0.004367291059273571,0.00519587517371859,-0.0009939711500635896,0.004633885830991297,-0.003872291985691509,-0.006870180447597993,-0.00678699710626648,-0.0059145233527098,-0.00030108074426991914,0.004775692361326521,-0.00026343649083726984,-0.00405166705995434,-0.00598217999805547,-0.0022555837312109995,-0.004166655369050111,-0.0009119848008384199,-0.003987686488574841,0.0065111422536345,-0.00026343649083726984,-0.00016743616298098025,0.0013802707667839097,0.0004031370850229102,-0.0083658556131932,0.0018378798023038698,-0.00498352372220548,-0.0026387575212443604,0.004479388105903729,-0.0021347477957013405,0.001372539763695614
2020-01-13,-0.006790642000051432,0.03457063605983678,0.025689833953191948,0.033626486206236816,0.03165967897511329,0.03627374064556007,0.004697524839301451,0.02424411741453163,0.029785418787856018,0.016132954738140165,0.0203542866929552,0.006949204128428401,0.01870523633260331,0.027602528659076767,0.020962691369334794,0.020841329092299833,0.03636145605666853,0.0049097248212687005,0.03618044204893597,0.03653136259307638,0.01279014708250805,0.03247928533620228,0.03152368575090743,0.0030582730769567203,0.03636145605666853,0.012043074014455552,0.002654786346584301,0.03455820461749275,0.0073662438781043095,0.012514128053148681,0.01229749791426272,0.007785919729360621,0.0377891726196648,0.011137165990053741,0.018962509716599244
2020-01-14,0.007327208888150095,0.00683893277961497,0.01293732019901173,0.0023129651584914796,0.00518527426666762,0.00887289241920796,-0.003455274224464901,0.008242135126513351,0.007343104761192,0.005946277647942359,0.0019474280222480794,0.009477034367221297,0.0025007267717577397,0.007705472868171599,0.006339937582599412,0.0017023154210236001,0.0088215128897521,-0.0004983510637592798,0.01313764630978125,0.004811904696808849,-0.0019269694129768703,0.00961783103948073,0.0032877792477954302,0.01260813609934783,0.0088215128897521,0.00142139884630015,-0.005389372369789861,0.00902437988684402,-0.0004148192655261903,0.0035241677603913995,-0.0006489282602620701,0.0008992636694746198,0.01032833053365727,0.0015833526251206602,0.010007996981097871
2020-01-15,-0.0026365500653336717,-0.01002494445193021,-0.0068956076115976,-0.014588414648547552,-0.01193880119890946,-0.0068900772420628495,0.005140679210194791,-0.00386424394905982,-0.00813678235548335,0.006604229303291418,0.0028636836010012506,6.143547508642797e-05,-0.004272343813983991,-0.01267707200412571,0.008063634901928575,0.0004939683666287404,-0.007358227900135071,0.0021579185868828305,-0.0022319211271056225,-0.01207654028119138,-0.00413252477090823,-0.0013467150261852502,-0.009205634691711952,0.0049088155104625615,-0.007358227900135071,-0.00107007107854827,0.0005292224422664602,-0.00968937185689,-0.00658089905865682,-0.0020350481506176,-0.00761802803462781,0.00390554491553145,-0.006859991798261599,-0.008500738482476762,0.01332026329803475
2020-01-16,0.01871825132302844,-0.00033017848583692016,-0.01145764470743882,0.00442097689117608,0.0069278932784069,0.00031249200679967014,0.011678482995953202,0.00449881086131417,0.0030796289166183095,0.01026628335718054,0.01103873119424311,0.006134204679724314,0.013993518390634,0.009906734372623939,0.006072117910740056,0.013285032277513303,0.01083426156691688,0.014603295440077761,0.00297559380657367,0.0020200566562936697,0.012215381969978917,0.00289298593369403,0.00292457194149648,0.016256990005692123,0.01083426156691688,0.012164129374490112,0.008359662534221761,0.006746840602933759,0.012418409900644061,0.00877345040955529,0.01270968869579749,0.016489413326583387,0.005498494544973261,0.005747162131476821,0.00870109123853618
