,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0015994437048944743,0.02192751037262866,0.6015117510811179,0.0013935485041475116,0.06759271644947565,-0.03618039211483729,-43.95566545637221,75.0,KMeans,ts2vec
port,0.0006944207744193988,0.019706139439924775,0.6406621283682268,0.0004827594516792798,0.02928615532962822,-0.03251513007587588,-36.46314651629595,154.0,Agg,ts2vec
port,0.0013495041149869961,0.019377326549312207,0.6966951485556124,0.001129590171137352,0.06358980419805557,-0.03197258880636514,-35.51454595134156,115.0,KMeans,takens_one_BC_2
port,-0.0002672887258475451,0.014007484426292783,0.9419669888320104,-0.0005233266473066046,-0.027456210407065952,-0.02311234930338309,-31.13078028176659,642.0,Agg,takens_one_BC_2
port,0.001881940463124379,0.019323006204391834,0.6745162291671133,0.001665293061355099,0.0913230959315665,-0.03188296023724652,-24.775281881748157,57.0,KMeans,takens_one_PL_2
port,0.0005759008532906452,0.017537337986822717,0.7401480601344103,0.0003495871042160414,0.026149757722681684,-0.02893660767825748,-28.214302796793266,182.0,Agg,takens_one_PL_2
port,0.0013510898827148465,0.018935998761252442,0.7052582186099784,0.0011299147580033342,0.06515558986014604,-0.031244397956066528,-33.048880272307436,145.0,KMeans,transformer_embds_sum_23
port,0.0011350408719574437,0.019531220959993628,0.6672781965040414,0.0009194594977009934,0.05210821997291697,-0.032226514583989486,-36.29770886198113,180.0,Agg,transformer_embds_sum_23
port,0.0013936437295641619,0.020149906015953834,0.678788509740169,0.001176367100372817,0.06334223170664724,-0.03324734492632382,-31.76510991357766,180.0,KMeans,transformer_embds3
port,0.001193238346391976,0.018757177738729886,0.6963386767426609,0.0009733769042065056,0.05736122179702618,-0.03094934326890431,-34.16670887056398,180.0,Agg,transformer_embds3
port,0.001528845625601908,0.021788006633131678,0.6084749139794894,0.0013219248805431808,0.06478527088480936,-0.035950210944667264,-35.878495640078455,116.0,KMeans,transformer_embds2
port,0.0012104290830011574,0.021925790689934086,0.5834097813770883,0.0010071999655173114,0.04985568751545875,-0.03617755463839124,-41.246102217303424,288.0,Agg,transformer_embds2
port,0.0010563589192799996,0.016226455005625615,0.815996342166829,0.0008188741297844324,0.057871864502750954,-0.026773650759282265,-34.95429125975558,75.0,KMeans,takens_mult_PI_0_sigma=0.0005
port,0.0003890799515465546,0.018017728429043398,0.6914860181981479,0.0001699332156576187,0.015083823623072267,-0.029729251907921604,-43.476745433287114,219.0,Agg,takens_mult_PI_0_sigma=0.0005
port,0.0012827256993964296,0.017804554813361486,0.7433118245368983,0.001055945986702406,0.06545639572450224,-0.02937751544204645,-29.859143633767125,108.0,KMeans,takens_mult_PL_2
port,0.0009207310278247306,0.020268300491562065,0.5856761467302035,0.0007171681169010081,0.03963959949798247,-0.03344269581107741,-39.231977403032694,180.0,Agg,takens_mult_PL_2
port,0.0015159906071939607,0.02036385000550151,0.6354569518801794,0.0013050959100831656,0.06868479648895674,-0.03360035250907749,-33.89996200865165,82.0,KMeans,takens_one_BC_1
