,DB,HC,Sil,hom
ts2vec,2.04693024333517,61.42189034180672,0.08528287678498585,0.15024837896729645
takens_one_BC_2,2.154012132980787,28.15871271229248,0.08604235425760122,0.058984836689054236
takens_one_PL_2,1.8209669383246612,36.21892597582516,0.11255052552724774,0.061265473481385634
transformer_embds_sum_23,2.4886092809835074,12.811214166968403,0.04407498544568859,0.28173764937371026
transformer_embds3,2.671952624762096,12.285553950002353,0.03301913691845431,0.35721573244849575
transformer_embds2,1.9056082251064799,35.65237147256711,0.17723118550518716,0.04234791347250142
takens_mult_PI_0_sigma=0.0005,2.3110003459971367,35.12614706410172,0.026573022657655133,0.06670667501574773
takens_mult_PL_2,1.9969973283897042,35.73400279759385,0.09390772670666005,0.0695902449673125
takens_one_BC_1,2.322634965725723,47.09498716542614,0.06500170516814334,0.07252737414506709
table_finance_features,1.2302718415806,119.87951143665538,0.20802569915811653,0.16606331433274932
takens_mult_PI_1_sigma=0.0005,2.2539343101956577,28.937284318349437,0.11384959157912358,0.07040199578630964
signal2vec_embds,1.18295544864563,243.32348762452605,0.19689450990073476,0.16506107135730277
autoencoder_mlp,2.3903394782893126,37.42664755101152,0.033564823739338466,0.1682677225189963
takens_mult_PL_1,2.0702563913845466,32.67445392627483,0.06512704607026536,0.088898593978619
tsfresh,1.8117611234977957,55.443098949746606,0.09718011806992387,0.2922153942701721
takens_one_BC_0,1.336490654179539,159.81406210472474,0.17529108615414768,0.08804700331907146
pca,3.016863134546867,3.7662872516885693,0.023242850294069892,0.12289382104906749
takens_one_PI_0_sigma=0.0005,2.7199930508324086,29.248833977159244,0.026464961035872536,0.07743928516193324
autoencoder_conv,2.4540497765916807,20.603384020120696,0.045935517102089346,0.23261957135970493
takens_mult_BC_0,1.452718575064366,147.52166106285833,0.17850761886122576,0.07853245218299587
takens_one_PI_2_sigma=0.0005,2.0285198030657483,37.050583427571276,0.08985338649613456,0.06065080969169347
takens_one_PI_1_sigma=0.0005,2.3394142311611703,25.260737912438497,0.01571148042884338,0.06918465540635889
takens_mult_PI_2_sigma=0.0005,2.180400012939787,36.03661110739022,0.1558722420034667,0.06066821981047483
umap,0.8861557821458388,427.5187756324247,0.40018271857115034,0.5002642166937235
fastica,3.016863134546867,3.7662872516885693,0.023242850294069892,0.12289382104906749
transformer_embds1,1.8582746823947767,35.310813609457846,0.17772082420880383,0.04544026412176668
takens_mult_BC_2,2.088613597519228,32.83105938890562,0.06971657496069862,0.058158318400916766
takens_one_PL_1,2.1767066208800414,31.08852972648822,0.06055342541296252,0.09620922026415676
autoencoder_lstm,0.9061405689884211,256.9374592000638,0.2687126137178144,0.11123394858040078
transformer_embds_sum_all,1.9992020078105872,33.832415139991824,0.15891868587522398,0.04599116447921287
tnse,0.861476273004702,138.77038474834757,0.24346093460572343,0.27907234324054725
takens_mult_BC_1,2.1925059590889306,48.153896765927136,0.07629453045260895,0.06619997579618057
tsclust_KShape,5.556048215792145,3.906014833128629,-0.28737126235357446,0.04919205027537154
sectors,3.7449437798804626,10.966540734814357,-0.013595955682291447,1.0
