,DB,HC,Sil,hom,clust_model,emb_model
0,1.8198993542742732,85.71432825827341,0.10795000322354609,0.1501079090777712,KMeans,ts2vec
0,0.3201725637005267,18.54342368716709,0.5167297632261121,0.028242831319338035,Agg,ts2vec
0,2.096122939390225,33.76266405313697,0.07270488605172194,0.06833642757467673,KMeans,takens_one_BC_2
0,0.45379031641393175,6.411141891743094,0.27374663252057574,0.028899599182564493,Agg,takens_one_BC_2
0,1.7334999802324533,45.85821442707207,0.08981415121033155,0.0685564445955394,KMeans,takens_one_PL_2
0,0.31180206979469766,10.268861073191376,0.37973627434550716,0.0230114273679266,Agg,takens_one_PL_2
0,1.1915134770135627,180.52454452416214,0.30391428384255254,0.05180192850620125,KMeans,transformer_embds_sum_23
0,1.1427380812476058,130.819923190249,0.21685544169938092,0.05164912071392923,Agg,transformer_embds_sum_23
0,1.2285071398239478,169.02357935019987,0.29242520270213085,0.04982479505361181,KMeans,transformer_embds3
0,1.2020745065006146,129.11878449108988,0.2237013448881863,0.05452389088537768,Agg,transformer_embds3
0,2.8661205272095804,21.733385956196535,0.04952687356747229,0.12610212158333595,KMeans,transformer_embds2
0,0.5381296466819085,3.7545428908666776,0.18279128372991335,0.02440433148800882,Agg,transformer_embds2
0,2.259612065775282,55.233736417184986,0.0640637529417461,0.12953965186641567,KMeans,takens_mult_PI_0_sigma=0.0005
0,0.4234990614267381,14.309939962439032,0.37764145309232183,0.02886850115916561,Agg,takens_mult_PI_0_sigma=0.0005
0,1.6809869227904684,44.06945131160043,0.15006306843166364,0.06735204842972461,KMeans,takens_mult_PL_2
0,0.3801497209016291,8.073443434487645,0.3242791477338267,0.028427735743982677,Agg,takens_mult_PL_2
0,2.2720784546570374,31.87356605943802,0.06285866541130306,0.06372825682644638,KMeans,takens_one_BC_1
0,0.5497258570699949,3.4519624086831064,0.10439339996204587,0.02445881688770153,Agg,takens_one_BC_1
0,1.1430816298116684,123.41153179281787,0.19782494509853013,0.2044387210742105,KMeans,table_finance_features
0,0.4154122947714278,10.843503105542464,0.06835574008340481,0.02448661469269101,Agg,table_finance_features
0,2.645444840817679,20.530383564850453,0.048595911158423113,0.10519319388246083,KMeans,takens_mult_PI_1_sigma=0.0005
0,0.3111765924956625,9.058264735670578,0.4709168080856856,0.02939764963668763,Agg,takens_mult_PI_1_sigma=0.0005
0,1.3574368291726928,230.5636186228918,0.18119156514408627,0.16957133905920374,KMeans,signal2vec_embds
0,0.49378597200817986,13.128751679928698,0.046550951439024976,0.030857641998290698,Agg,signal2vec_embds
0,2.9867123445798285,22.223533974729413,0.016494572857048882,0.26133609501273547,KMeans,autoencoder_mlp
0,0.34873746070918593,8.551307098987,0.4253239709228843,0.023233902409907973,Agg,autoencoder_mlp
0,2.1329983103226526,30.654585597875865,0.06308653341555187,0.0806392934590805,KMeans,takens_mult_PL_1
0,0.416573157696471,6.193606795660244,0.2638725766715273,0.02662820941629668,Agg,takens_mult_PL_1
0,2.2848156505141244,33.41357098120002,0.06013194178994087,0.3027770977115924,KMeans,tsfresh
0,0.46293793800824695,5.830445473254899,0.20139849964225545,0.02444474356397399,Agg,tsfresh
0,1.2067203976808032,219.95398373205128,0.243883600406218,0.08444618159262592,KMeans,takens_one_BC_0
0,0.43891597611281874,10.837147933144273,0.16145111848517502,0.031122123451764277,Agg,takens_one_BC_0
0,4.163205275911533,3.138455920413058,-0.08167573569437546,0.240305659109318,KMeans,pca
0,0.44893980896251623,4.331126206269973,0.3713394238170013,0.024358964064513166,Agg,pca
0,2.3433535638639365,57.31412193020583,0.0791974350423138,0.1310687711677083,KMeans,takens_one_PI_0_sigma=0.0005
0,0.3631135591387621,8.632761824507389,0.3704716889239611,0.02983875669947315,Agg,takens_one_PI_0_sigma=0.0005
0,2.091430098587374,24.32876861050948,0.04643847709603064,0.2591772048816732,KMeans,autoencoder_conv
0,0.4081571556864837,6.808775078090658,0.24334079020659943,0.022738912889783084,Agg,autoencoder_conv
0,1.2884523858634105,169.0813880051539,0.20620122356246573,0.08015356637051137,KMeans,takens_mult_BC_0
0,0.38645955724589487,6.797139540454163,0.1653754159735099,0.02528578737168467,Agg,takens_mult_BC_0
0,1.9865973419235812,48.85091459564788,0.09401724833982514,0.07034378732470023,KMeans,takens_one_PI_2_sigma=0.0005
0,0.46784064104088063,6.003347850508257,0.26203691748273933,0.02542401721214144,Agg,takens_one_PI_2_sigma=0.0005
0,2.6299959501110566,19.570038562630728,0.0442378308328124,0.07866158429996148,KMeans,takens_one_PI_1_sigma=0.0005
0,0.3198027843275507,10.388697130965621,0.4326090444709473,0.027311966333931275,Agg,takens_one_PI_1_sigma=0.0005
0,2.088541244622441,49.90734524905923,0.09124393324197663,0.07698658819282309,KMeans,takens_mult_PI_2_sigma=0.0005
0,0.35020057311995917,8.322796331469247,0.32110400108680137,0.027223243463448288,Agg,takens_mult_PI_2_sigma=0.0005
0,0.924180312543641,479.9051327576731,0.42825667098810327,0.5846266303790165,KMeans,umap
0,1.1738244851073893,24.756190879905926,-0.2433323748523578,0.22340414153736907,Agg,umap
0,4.163205275911533,3.138455920413058,-0.08167573569437546,0.240305659109318,KMeans,fastica
0,0.44893980896251623,4.331126206269973,0.3713394238170013,0.024358964064513166,Agg,fastica
0,1.3409037621186228,152.90705258846958,0.27643409874928937,0.05017993708633442,KMeans,transformer_embds1
0,1.1952499233541807,94.47433320660583,0.16664370895202446,0.0508158671740846,Agg,transformer_embds1
0,2.117705316656128,37.00888159701102,0.05495598844251498,0.05555873621339946,KMeans,takens_mult_BC_2
