,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR(95%),Drawdown(%),Recovery(days)
ts2vec,0.0011450142861010521,0.02143285073929196,0.4205822653571613,0.0011490663397235273,0.047950250984697226,-0.03536420371983173,-25.46852232306399,85.0
takens_one_BC_2,0.0007664215017104546,0.016082899353027244,0.5531373820178355,0.0008087213114503631,0.04036074426803049,-0.02653678393249495,-23.1966260736293,122.0
takens_one_PL_2,0.0006325943142758579,0.01511199926788072,0.5955084024359766,0.0006871199550227156,0.03409810914540048,-0.024934798792003186,-22.32852102920613,116.0
transformer_embds_sum_23,0.0011280025896078466,0.020294441327539003,0.4168603311805517,0.0011309807078420976,0.04980175898717186,-0.033485828190439354,-29.297859994439502,122.0
transformer_embds3,-0.0001561101873017546,0.021040609574335283,0.3982036078293525,-0.0001585153226352536,-0.012994580797207791,-0.034717005797653216,-42.28857157725287,208.0
transformer_embds2,0.000611314844398245,0.01644531551349696,0.5530024894778517,0.0006535757319365717,0.030039626187673463,-0.02713477059726998,-26.71005928758956,182.0
takens_mult_PI_0_sigma=0.0005,-0.00010694428962362635,0.010320026159251079,0.5129711699985716,-7.623413043946811e-05,-0.021729402619493843,-0.01702804316276428,-19.90260037816566,338.0
takens_mult_PL_2,0.0005608808780216297,0.018611886065626908,0.5226013641614183,0.0005943697554249192,0.023833004490952412,-0.030709612008284395,-26.673613402662653,184.0
takens_one_BC_1,0.0007608008199864124,0.017362790553708297,0.5567750466600526,0.0008041502497906198,0.03706184810335842,-0.02864860441361869,-33.792265859061864,182.0
table_finance_features,0.0020436033890875965,0.015220007900787301,0.5014588275173533,0.0020709917506780097,0.12656364489492175,-0.025113013036299047,-12.020326852031616,65.0
takens_mult_PI_1_sigma=0.0005,0.0008170949635230788,0.012621636513710897,0.6399427299636026,0.0008844417866228542,0.05544378091766831,-0.02082570024762298,-15.621979731404778,73.0
signal2vec_embds,0.0007246702302495289,0.015806980983238208,0.5299298890107291,0.0007602736969512045,0.03842394174188822,-0.026081518622343043,-21.39157320678541,108.0
autoencoder_mlp,0.0004420957691377574,0.019732682440341515,0.47860924595946164,0.00046289106027696484,0.016459599767302956,-0.032558926026563496,-30.181038773099612,122.0
takens_mult_PL_1,0.00101548678592378,0.018023735950194724,0.4965770215621587,0.0010414665400738264,0.049833346125980456,-0.029739164317821292,-26.977136808001625,119.0
tsfresh,0.001278078433035659,0.017993270084102963,0.4603477282216182,0.0012936045041374445,0.06451160427068525,-0.029688895638769888,-21.229908131502018,87.0
takens_one_BC_0,0.0013106552346242733,0.019046356918194233,0.4347002900230522,0.0013187809353294425,0.06265510648127479,-0.031426488915020485,-23.1139738943441,48.0
pca,0.00019422283226139253,0.016211787283183666,0.5066861903901986,0.00022311950907444433,0.004744641481123489,-0.026749449017253048,-26.691439173921705,215.0
takens_one_PI_0_sigma=0.0005,0.0001593663238433252,0.011505719904383715,0.7051286592808733,0.00024552204387310407,0.0036557999289423154,-0.018984437842233127,-22.459579190498957,122.0
autoencoder_conv,0.0019370990776373914,0.022841718305753534,0.36711886616729095,0.0019257246799471066,0.07966981027625052,-0.03768883520449333,-26.640545388615532,80.0
takens_mult_BC_0,0.0009704032201958155,0.013890805025278547,0.6628517926703082,0.0010443602765733307,0.0614146915753905,-0.0229198282917096,-19.63588920899333,65.0
takens_one_PI_2_sigma=0.0005,0.00043780171774898175,0.011434243984329778,0.68216953146332,0.0005173327585995881,0.028029662857794863,-0.018866502574144132,-17.43061068119658,131.0
takens_one_PI_1_sigma=0.0005,0.0011238198379367318,0.011902651074733657,0.6679053401919316,0.0011992350564584491,0.08456234815106561,-0.01963937427331053,-16.33327516987547,66.0
takens_mult_PI_2_sigma=0.0005,0.0008030725934538824,0.01128852969352805,0.7368602887011728,0.0008983842303117021,0.060749176220229906,-0.01862607399432128,-14.422739978444332,71.0
umap,0.001278732812003158,0.01640567169196104,0.4903668630801994,0.0013029206728408052,0.07079436428913922,-0.027069358291735717,-23.202606613709108,108.0
fastica,0.00019422283226139253,0.016211787283183666,0.5066861903901986,0.00022311950907444433,0.004744641481123489,-0.026749449017253048,-26.691439173921705,215.0
transformer_embds1,0.0007785735366728641,0.014822750266382814,0.5975142082641979,0.0008336779372146615,0.04461181703493573,-0.02445753793953164,-18.14036752139021,116.0
takens_mult_BC_2,0.0007564800642406423,0.018098279454571566,0.46643727470713386,0.0007737632269938955,0.035316967671462245,-0.029862161100043083,-19.875105590170673,108.0
takens_one_PL_1,0.0003943847032827844,0.01773221056215971,0.5301208821375836,0.0004300432795775114,0.015625857164115926,-0.029258147427563518,-30.900951365123873,182.0
autoencoder_lstm,0.0010155739693481218,0.01919636891622979,0.43272070485816067,0.0010231284760284366,0.04679375872768417,-0.031674008711779146,-27.62951114881075,122.0
transformer_embds_sum_all,0.0006570779515263408,0.016984726145816097,0.5025166897485374,0.0006847715511010996,0.03177997885028344,-0.02802479814059656,-25.746967565193557,98.0
tnse,0.0009576090664003788,0.01418175359025391,0.6040343012458467,0.001014594789463007,0.05925257036925325,-0.02339989342391895,-16.216787442340408,95.0
takens_mult_BC_1,0.0003891425546228025,0.01864740931745751,0.5086538494606521,0.0004186069842781803,0.014577834173128853,-0.030768225373804886,-32.50420634344571,182.0
tsclust_KShape,0.0005988557685246756,0.016804364114621557,0.5627249857618559,0.0006439220073469905,0.028656368750735756,-0.027727200789125567,-24.85815414554532,154.0
sectors,0.0012049824926907082,0.01807204237292216,0.42127534545852796,0.0012092345292286282,0.06018571428794116,-0.02981886991532156,-20.17680782675405,88.0
