,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
A,0.8310652110517536,0.7219349807421055,0.04758057555122078,-0.03462341230191625,-0.03462341230191625,0.7687733860583734,0.7642470128374335,0.4985661498216862,0.04313131956366393,-0.016663004944234304,-0.02378929553855152,0.09266719487069582,0.10001939326908824,0.1614392996752039,-0.11627364751284122,0.2081210229940298,-0.04919009463188878,0.11131053167284846,0.8907588754597157,0.891647746948384,1.588285819145656,1.7142566146410074,0.6137864819858101
AAL,2.2061948415443355,2.5091764238154792,1.2891086794079842,0.8942411009905965,0.8942411009905965,2.6138191983690926,3.006431624321394,2.423057677147405,2.6392810984503647,2.4625234779383054,2.275433426354969,4.241022322504211,4.412133329793517,0.9698347531175047,2.546840007474268,2.914351908311275,2.2928307323904535,2.315321617515751,2.7943585847802668,2.8279613612639873,1.17248850048295,1.025354292727096,1.210269408894361
AAP,-0.2559967313524029,-0.49367027638704764,0.9610707513564476,1.133608581503717,1.133608581503717,-0.23648692441972224,-0.8296725242513756,-0.39466421051397094,-0.47615066333854283,-0.3175754075874765,-0.3230992222346047,-0.832349056597774,-0.8763307396562185,-1.8986652429680786,-0.44840821302163897,-0.7793835163662781,-0.2969102862105069,-0.28979543966397336,-0.6794488732268995,-0.6771443796719887,-0.0454554313689708,-0.01824192242691236,-0.9768346564369924
AAPL,0.027196242713341905,0.17681527077287704,0.2196308037436917,0.23954160948844494,0.23954160948844494,0.1944253596681187,0.0852482084206468,0.5009092020894672,0.46845369067405396,0.017779832043271798,0.01875512171164394,0.4087602428141925,0.37204309934567703,-0.22971979070010293,0.37322175113805395,-0.1949699619757395,0.14019736696415044,-0.31380860464355204,-0.05558176184119649,-0.11668541054314455,-0.42928625052132124,-0.4328256780302143,-0.6927951674329205
ABC,-0.9884506345566716,-1.0405371917356725,-0.8739348049036276,-0.7325129696883448,-0.7325129696883448,-0.8149575161985805,-0.742370765730767,-0.7881480499395545,-0.7097668364879909,-1.0957357926473497,-1.104459710260882,-0.3734497167950427,-0.2698661121256578,0.031052936216768287,-0.8510698243813817,-0.6451053676191862,-0.7464385505345748,-0.8095877209726203,-0.7666105210736259,-0.7276203934555792,-0.9527598196810285,-0.9484516841984028,-0.09631224052436957
ABMD,2.981267823416746,3.3051264840639547,2.8502655495831384,3.0830542379102366,3.0830542379102366,2.851738280517015,3.356093613367167,2.9817022253977075,3.0680734036459074,2.2345848549613883,2.1314246982284897,2.4994145452524217,2.2242831087631827,1.1262983892676273,3.6088576014728226,4.413823304108367,3.4133707861330946,3.0782579587648646,3.1177382479859004,3.0500577313505515,5.117030770865739,5.2304358308056695,1.6647325913008761
ABT,-0.9094297666342588,-0.8538246903879669,-0.5796075319029033,-0.5497746404037236,-0.5497746404037236,-0.9197069338991046,-0.9699608937631804,-0.834718478072817,-0.6970964806701202,-0.6357512624801214,-0.7223941371573858,0.11224736063114375,0.3074065174684503,-0.5165697903086612,-0.960851919032649,-1.2012214513602144,-1.0459566547838055,-1.1617854995674142,-0.24746041590268358,-0.2329415898211436,-1.1244414890878422,-1.0971723496925982,-1.4312978388435074
ACN,-0.5099088455361184,-0.8108162796162794,0.20629717680015594,0.3883020429650257,0.3883020429650257,-0.4959457359845948,-0.9865213176449685,-0.5649328717383884,-0.7778898531101817,-0.055158174213989906,-0.06606183727477458,-0.8250624214176052,-0.7926238326372943,-1.8204334248930172,-0.513019201662166,-1.0764795742075641,-0.7787405589323181,-1.0117206072886533,-0.8571737716870003,-0.8732071852545125,-0.9536720317456715,-0.9277080990033818,-1.5733175833455433
ADI,0.13816672570570346,0.18854066929387064,-0.48075250011356746,-0.5799066213229701,-0.5799066213229701,-0.07977142053128129,0.5472579473844386,-0.06595066999399919,-0.06843622230018924,-0.4012287423062274,-0.32366019614578756,0.40452644036551233,0.5004309411880141,1.8564620246348666,0.017875953989447718,0.6060187136643858,0.09513262819839727,0.4983033863230517,0.05531489284190375,0.09125573723755885,0.3820009979013558,0.36159535968848,1.1534615110935467
ADM,-0.5776752280954882,-0.4969328152130594,-0.45644959942613195,-0.41821375277128686,-0.41821375277128686,-0.27469850528468787,-0.2560353849426023,-0.36196546202889035,-0.34166085822141873,-0.4187656623938044,-0.516397586810875,-0.7306165793518714,-0.7881857990667864,0.004975663525081169,-0.41680633569247827,-0.6456108618205688,-0.4239963028186775,-0.701073056470076,-0.17232822310073687,-0.13346535742665444,-0.8188734677818174,-0.8146059433675221,-0.7211991163333277
