,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
A,-0.35553031846667665,-0.3480616230524631,-0.760542112582026,-0.7938478121209371,-0.7938478121209371,-0.2069972792322641,-0.04847321370886896,-0.23325319091046,-0.08236806221252613,-0.585731351312879,-0.5705475539631505,0.08504984389506678,0.12039584040766645,0.821445581224442,-0.02842814658216027,0.27580187023082686,-0.10267596503147779,0.22537154191228143,-0.1603156185228147,-0.14909517471588443,0.33506230076943094,0.33796503751760565,0.809556880328591
AAL,1.1362223397607594,1.1378835085545347,0.40432842198229235,0.2319970161431867,0.2319970161431867,1.0877368762370505,1.3501673639810996,1.474018326691295,2.791005242870185,1.2976094838377628,1.1970604823438977,2.574022034216151,2.3827294608250122,0.8784973487958052,1.1545317812046754,1.952355737320142,1.3308357518339238,1.4098478561253696,0.6199801053131603,0.7119020046068529,1.6822665722037702,1.6620302533898454,1.5904909052577014
AAP,0.09116726853790182,0.09689693026344948,1.144546088338669,1.3199312737726054,1.3199312737726054,-0.4001345767091773,-0.7160861477094734,-0.5795721376690617,-0.3529500902140302,-0.6790779551445458,-0.797266632149113,0.07760032578314875,0.17614865733039226,-1.6888321919155398,-0.23140109585093313,-0.6998071480973939,-0.6403286734585609,-0.8562094944458111,0.059660729066136155,0.11100459683363839,-0.5943321132985313,-0.5423903128844653,-1.3380116882264625
AAPL,-0.17323459606300423,-0.166475594212809,-0.3501160088413822,-0.4593168168947788,-0.4593168168947788,-0.284439380747176,-0.26266658254395114,-0.08720050503484986,-0.10037560709236885,0.17246261241308142,0.24968020332056737,-0.48804678707174354,-0.554116120348144,0.13682437036808331,0.39725204592506025,0.21385850504053655,-0.018710082952131852,0.06893481087315749,0.2237020304676405,0.3035835219221845,-0.22879132474495337,-0.2586436457532805,-0.36184415706507456
ABBV,0.25398719976101847,0.25908298892082854,0.2988815084594275,0.2607368527438436,0.2607368527438436,-0.06273615148111197,-0.2623695415323799,0.0022369243101132722,-0.10913375082105131,0.42863253357007686,0.4437819655831184,-0.5364930299753325,-0.6094085224177023,-0.9471592134878178,0.7526206298573505,-0.3190423258583938,0.5779278173771091,0.2486236286940245,-0.07746495069112862,-0.057441100607595226,-0.5186305893582788,-0.5978527554561168,-2.118945713155573
ABC,-0.33219452606082944,-0.32481667897516325,0.36335776149649945,0.6212483877726334,0.6212483877726334,-0.7140337698279763,-0.6909510164853828,-0.692517339727006,-0.7832714299478332,-0.6277245238855068,-0.6210124624089566,-0.5693763032864323,-0.4874693136265996,0.19387613793944652,-0.3973680018375348,-0.14795320433123052,0.44091281600461324,1.2920680095712884,-0.0397677416843225,-0.29635116629271246,1.1190829796790438,1.0613187141909737,0.7119401272124521
ABMD,1.9348974258483915,1.9334492810452018,2.865060267414518,3.2267328673993907,3.2267328673993907,1.6632657522979106,1.342297800968732,1.5607022980011174,1.353127731130758,2.5379263916727273,2.426374452171931,0.02194831652886053,-0.29693738085878546,-1.004210981059181,1.1600935635342777,0.9031930065703166,1.1463218633140626,0.2599439838022545,0.4360371270652676,0.4487497806187727,0.9606748982979649,1.0173058294867223,-0.36184415706507456
ABT,-0.3898872899550234,-0.38228483977562394,-0.476433572534326,-0.6425102328233641,-0.6425102328233641,-0.12790203944047793,-0.2076605152471448,-0.20140262601367123,-0.16160676432726515,-0.36176606473781575,-0.31498861129717215,-0.46338465451138333,-0.510291546297684,-0.3766415377741857,-0.21052262066219293,0.1871339420868999,0.1677355630594946,0.06811792235414355,-0.2974472991092751,-0.23264214462939514,0.7725383349953064,0.8357044434537182,1.1024071396770074
ACN,-0.6801546618712078,-0.6714221748320445,-0.6178239491185656,-0.6951516399198978,-0.6951516399198978,-0.4408676284584459,-0.6180655140438492,-0.48808139459295513,0.15858554255891272,-0.48277887870117003,-0.4351786494297542,0.269049665442122,0.2808307108586115,-0.9471592134878178,-0.3189012498086508,-0.43328662764795417,0.13040243229247872,0.01930410398847697,-0.9007880834764861,-1.026762485103683,-0.3797682206211665,-0.41742249237057616,-0.36184415706507456
ADI,0.11700235455128075,0.12263143797456291,-0.06993829330126862,-0.167314976784457,-0.167314976784457,0.05080259349633609,-0.21722595101749442,0.0759812168005204,-0.2852445761995079,0.13420246712611428,-0.011776553547998671,-0.7157461406379111,-0.7796963318299289,-1.232418051344634,0.09650765789471737,-0.21331947644721147,0.027328373009705007,-0.08685012911605851,-0.2246623636256259,-0.223113405600365,0.3113946254825645,0.35115272725698293,-0.7523111695296297
