Date,AAF,AAL,ABDN,ABF,ADM,AHT,ANTO,AUTO,AV,AZN,BA,BARC,BATS,BDEV,BEZ,BKG,BLND,BME,BNZL,BP,BRBY,BTA,CCH,CNA,CPG,CRDA,CRH,CTEC,DCC,DGE,EDV,ENT,EXPN,FCIT,FLTR,FRAS,FRES,GLEN,GSK,HL,HLMA,HLN,HSBA,HSX,IAG,IHG,III,IMB,INF,ITRK,JD,JMAT,KGF,LAND,LGEN,LLOY,LSEG,MNDI,MNG,MRO,NG,NWG,NXT,OCDO,PHNX,PRU,PSH,PSN,PSON,REL,RIO,RKT,RMV,RR,RS1,RTO,SBRY,SDR,SGE,SGRO,SHEL,SKG,SMDS,SMIN,SMT,SN,SPX,SSE,STAN,STJ,SVT,TSCO,TW,ULVR,UTG,UU,VOD,WEIR,WPP,WTB
2015-01-02,,53.90999984741211,,0.04399999976158142,52.02000045776367,1039.525634765625,,,,35.20000076293945,129.9499969482422,,,,0.029999999329447746,0.4909999966621399,,,,,,,,38.470001220703125,23.270000457763672,,23.770000457763672,,56.5,1004.1300048828125,126.23999786376953,,,,24.950000762939453,,,,42.369998931884766,2.8399999141693115,,,,,2.809999942779541,52.490020751953125,4.190000057220459,0.8479999899864197,,,24.020000457763672,,0.38999998569488525,10.40999984741211,,,,,73.16999816894531,28.600000381469727,3.0999999046325684,12.855603218078613,,,,90.11000061035156,23.950000762939453,,,0.009999999776482582,45.720001220703125,,,,,9.079999923706055,,,,,66.9800033569336,14172.2998046875,,34.099998474121094,,,0.013000000268220901,,89.80000305175781,,6.010000228881836,78.06999969482422,,,32.77000045776367,,34.029998779296875,,103.0199966430664,0.020999999716877937
2015-01-05,,53.880001068115234,,0.04399999976158142,50.220001220703125,1037.5494384765625,,,,34.93000030517578,129.0500030517578,,,,0.029999999329447746,0.5149999856948853,,,,,,,,37.34000015258789,21.18000030517578,,23.059999465942383,,44.15999984741211,995.27001953125,128.99000549316406,,,,24.940000534057617,,,,41.90999984741211,2.930000066757202,,,,,3.0199999809265137,51.61760711669922,4.03000020980835,0.8629999756813049,,,24.579999923706055,,0.38999998569488525,10.100000381469727,,,,,69.91000366210938,27.270000457763672,3.359999895095825,12.392240524291992,,,,87.25,23.829999923706055,,,0.009999999776482582,44.43000030517578,,,,,9.09000015258789,,,,,63.79999923706055,14301.2001953125,,34.02000045776367,,,0.014440000057220459,,88.55000305175781,,6.25,76.47000122070312,,,31.1299991607666,,32.83000183105469,,100.7699966430664,0.020999999716877937
2015-01-06,,53.040000915527344,,0.04399999976158142,49.22999954223633,1023.7153930664062,,,,34.08000183105469,127.52999877929688,,,,0.029999999329447746,0.5099999904632568,,,,,,,,36.61000061035156,21.229999542236328,,22.510000228881836,,43.93000030517578,993.6900024414062,131.8000030517578,,,,24.889999389648438,,,,41.68000030517578,3.0999999046325684,,,,,3.25,50.652671813964844,3.930000066757202,0.8600000143051147,,,24.530000686645508,,0.38999998569488525,10.199999809265137,,,,,68.80000305175781,26.860000610351562,3.6700000762939453,12.079740524291992,,,,85.44000244140625,23.90999984741211,,,0.1550000011920929,44.959999084472656,,,,,9.09000015258789,,,,,63.02000045776367,14333.400390625,,32.869998931884766,,,0.014440000057220459,,87.69999694824219,,6.25,75.30000305175781,,,31.18000030517578,,32.619998931884766,,99.22000122070312,0.020999999716877937
2015-01-07,,53.0099983215332,,0.04399999976158142,49.970001220703125,1031.62060546875,,,,34.04499816894531,129.50999450683594,,,,0.029999999329447746,0.5120000243186951,,,,,,,,36.83000183105469,21.969999313354492,,22.90999984741211,,43.59000015258789,1015.469970703125,131.6699981689453,,,,24.8700008392334,,,,42.11000061035156,3.0299999713897705,,,,,3.130000114440918,51.85553741455078,4.019999980926514,0.8579999804496765,,,24.809999465942383,,0.38999998569488525,10.4399995803833,,,,,68.54000091552734,27.190000534057617,3.5899999141693115,12.04741382598877,,,,85.48999786376953,24.200000762939453,,,0.14000000059604645,45.380001068115234,,,,,9.09000015258789,,,,,63.75,14816.5,,33.68000030517578,,,0.014440000057220459,,88.0,,6.25,77.73999786376953,,,31.940000534057617,,32.84000015258789,,100.55999755859375,0.01899999938905239
2015-01-08,,53.65999984741211,,0.04399999976158142,49.2400016784668,1043.478271484375,,,,34.53499984741211,131.8000030517578,,,,0.029999999329447746,0.5139999985694885,,,,,,,,37.7400016784668,23.030000686645508,,23.520000457763672,,44.73899841308594,1032.3699951171875,129.25999450683594,,,,24.950000762939453,,,,43.189998626708984,2.930000066757202,,,,,2.9800000190734863,52.5296745300293,4.010000228881836,0.8619999885559082,,,25.079999923706055,,0.38999998569488525,10.59000015258789,,,,,70.23999786376953,27.739999771118164,3.4600000381469727,12.252155303955078,,,,86.86000061035156,24.100000381469727,,,0.14000000059604645,45.689998626708984,,,,,9.100000381469727,,,,,65.04000091552734,15589.599609375,,34.5,,,0.014440000057220459,,88.8499984741211,,6.25,80.91999816894531,,,32.349998474121094,,33.9900016784668,,102.62000274658203,0.023000000044703484
2015-01-09,,52.02000045776367,,0.04399999976158142,48.81999969482422,1017.7865600585938,,,,34.720001220703125,131.5399932861328,,,,0.029999999329447746,0.515999972820282,,,,,,,,37.31999969482422,24.100000381469727,,23.34000015258789,,43.93299865722656,1029.31005859375,131.0,,,,24.959999084472656,,,,42.79999923706055,3.0999999046325684,,,,,2.950000047683716,51.98772430419922,4.0,0.8519999980926514,,,24.940000534057617,,0.38999998569488525,10.5,,,,,70.13999938964844,27.649999618530273,3.5299999713897705,12.00430965423584,,,,85.31999969482422,23.899999618530273,,,0.14000000059604645,45.529998779296875,,,,,9.020000457763672,,,,,64.22000122070312,15621.7998046875,,34.29999923706055,,,0.012280000373721123,,86.05000305175781,,6.300000190734863,79.91999816894531,,,32.33000183105469,,34.0099983215332,,102.95999908447266,0.017999999225139618
2015-01-12,,49.58000183105469,,0.04399999976158142,48.209999084472656,1021.7391357421875,,,,35.39500045776367,130.8699951171875,,,,0.029999999329447746,0.5070000290870667,,,,,,,,36.93000030517578,22.770000457763672,,23.270000457763672,,5.650000095367432,1033.8199462890625,132.3800048828125,,,,24.93000030517578,,,,42.93000030517578,3.180000066757202,,,,,3.130000114440918,52.68829345703125,3.9200000762939453,0.8550000190734863,,,24.110000610351562,,0.38999998569488525,10.329999923706055,,,,,68.31999969482422,26.239999771118164,3.690000057220459,11.993534088134766,,,,84.20999908447266,23.81999969482422,,,0.009999999776482582,44.56999969482422,,,,,8.9399995803833,,,,,62.93000030517578,15492.900390625,,34.630001068115234,,,0.012280000373721123,,83.80000305175781,,6.210000038146973,79.26000213623047,,,32.5,,34.31999969482422,,104.06999969482422,
2015-01-13,,50.400001525878906,,0.04399999976158142,48.279998779296875,1026.6798095703125,,,,35.380001068115234,131.1699981689453,,,,0.029999999329447746,0.503000020980835,,,,,,,,37.09000015258789,22.530000686645508,,23.010000228881836,,5.650000095367432,1031.56005859375,132.10000610351562,,,,24.959999084472656,,,,42.90999984741211,3.059999942779541,,,,,2.9800000190734863,52.423927307128906,3.9200000762939453,0.8560000061988831,,,23.84000015258789,,0.38999998569488525,10.649999618530273,,,,,68.3499984741211,25.889999389648438,3.569999933242798,12.05819034576416,,,,83.37999725341797,23.950000762939453,,,0.009999999776482582,43.880001068115234,,,,,9.0600004196167,,,,,62.97999954223633,15557.400390625,,34.689998626708984,,,0.012280000373721123,,83.0999984741211,,6.25,78.56999969482422,,,32.150001525878906,,34.4900016784668,,105.31999969482422,
2015-01-14,,49.40999984741211,,0.04399999976158142,47.45000076293945,1032.608642578125,,,,35.630001068115234,130.3800048828125,,,,0.029999999329447746,0.5009999871253967,,,,,,,,37.02000045776367,23.940000534057617,,22.850000381469727,,5.699999809265137,1029.780029296875,133.5,,,,24.90999984741211,,,,42.849998474121094,2.8399999141693115,,,,,2.9000000953674316,52.89978790283203,3.9700000286102295,0.8640000224113464,,,23.81999969482422,,0.38999998569488525,10.84000015258789,,,,,69.36000061035156,25.959999084472656,3.5399999618530273,11.928878784179688,,,,81.18000030517578,23.75,,,0.009999999776482582,42.95000076293945,,,,,9.149999618530273,,,,,62.290000915527344,15460.7001953125,,34.31999969482422,,,0.010110000148415565,,81.94999694824219,,6.369999885559082,77.36000061035156,,,31.969999313354492,,34.40999984741211,,105.19999694824219,
2015-01-15,,49.40999984741211,,0.04399999976158142,47.209999084472656,1051.3834228515625,,,,35.650001525878906,130.13999938964844,,,,0.029999999329447746,0.5019999742507935,,,,,,,,36.779998779296875,23.75,,22.6200008392334,,5.650000095367432,1024.0799560546875,136.5,,,,24.959999084472656,,,,42.90999984741211,2.930000066757202,,,,,3.009999990463257,51.71013641357422,3.8299999237060547,0.8600000143051147,,,23.31999969482422,,0.38999998569488525,10.600000381469727,,,,,68.91000366210938,25.469999313354492,3.7799999713897705,11.74569034576416,,,,79.77999877929688,23.81999969482422,,,0.14000000059604645,43.099998474121094,,,,,9.140000343322754,,,,,62.5099983215332,15428.5,,35.15999984741211,,,0.010110000148415565,,81.1500015258789,,6.25,75.19999694824219,,,32.34000015258789,,34.31999969482422,,104.36000061035156,
