,0,1,2
EOG,56.70805,14.732751,136.59622
EPAM,72.96327,-106.869194,47.38303
EQIX,0.69523937,107.27554,53.672096
EQR,-31.263613,83.52966,41.45736
ES,106.56398,-37.152424,153.1842
ESS,-34.379944,62.597916,28.491398
ETN,-5.800741,-65.39099,-57.110485
ETR,-55.776043,10.296315,109.98216
ETSY,91.89213,-24.713385,25.569891
EVRG,-88.09203,33.777287,81.45354
EW,70.11777,29.405918,78.675674
EXC,-69.78685,-5.9702425,98.44691
EXPD,8.508718,-8.262349,-43.538635
EXPE,-3.8837564,-109.123695,87.453476
EXR,-50.182446,69.54739,49.975346
F,-37.331318,-95.61366,-73.74548
FANG,-26.38545,32.20756,-112.20899
FAST,-18.47682,-2.062228,-33.861546
FBHS,-19.990463,-123.8953,-11.831146
FCX,-3.1646428,-54.848286,-93.69193
FDS,17.08356,-39.9544,69.44985
FDX,5.472326,-43.16128,-59.434193
FE,-54.703156,29.774677,129.6082
FFIV,61.654438,-131.41835,-17.78063
FIS,11.756118,-50.45908,30.308651
FISV,11.529766,-65.661865,43.012577
FITB,-76.360275,-3.8069913,-81.00829
FLT,91.40147,39.07106,24.082748
FMC,-13.125343,-56.588737,-134.7395
FRC,-76.46644,-2.614706,-52.136494
FRT,-88.60222,64.09454,-8.756687
FTNT,119.913284,-27.146261,71.13408
FTV,29.61242,-1.7483511,-68.723114
GD,63.680706,59.80128,-29.287485
GE,-121.649506,-46.911896,-41.114914
GILD,61.43088,78.463394,57.742348
GIS,-99.531876,74.33927,60.548847
GL,297.96225,268.91473,343.99408
GLW,18.832397,-116.80513,-45.70942
GM,-28.832603,-80.577995,-80.39772
GNRC,69.623695,88.41977,-74.9761
GOOG,104.61086,-6.612189,1.1118655
GOOGL,116.83196,-15.670308,-0.6533093
GPC,-20.423529,22.589647,-16.816048
GPN,-3.1766467,152.12251,46.74928
GPS,-68.38367,21.628002,-40.23881
GRMN,74.65719,119.45584,-40.86353
GS,-31.476246,-55.89284,-47.359573
GWW,-21.26348,-12.5619755,-17.985022
HAL,-70.3609,45.311638,-103.59284
HAS,54.54246,134.81096,-2.1571348
HCA,-0.12262717,-5.835137,130.69423
HD,33.653618,-8.322097,111.446045
HES,-38.799488,79.16209,-96.32697
HIG,-25.496395,-21.41836,7.1701617
HII,64.635506,59.442074,-8.327473
HLT,94.579666,31.148441,-12.331123
HOLX,25.602476,41.826138,79.22592
HON,-66.74968,-58.376328,31.333477
HPE,40.196102,-95.19708,-79.56242
HPQ,62.32992,-91.24953,-84.35154
HRL,-61.268684,92.86756,70.573555
HSIC,34.30114,127.98981,37.916622
HST,-11.438534,51.23748,-12.522632
HSY,-71.81513,71.144646,77.59652
HUM,-24.07339,-93.36765,54.65994
HWM,33.00492,-40.168972,-11.658818
IBM,-2.6838467,-84.683365,23.202723
ICE,-4.9966955,-66.36822,68.89587
IDXX,100.56905,33.473156,62.09817
IEX,-460.9849,-372.70663,-138.68906
IFF,22.15108,109.78064,-12.770704
ILMN,124.06383,18.928719,38.535656
INCY,58.95848,59.767426,116.01091
INTC,64.27666,-60.502502,-27.06311
INTU,89.3672,-51.776443,35.721878
IP,-40.021133,-111.03271,-44.611145
IPG,-117.064964,61.582214,-38.0922
IPGP,31.362593,-54.5609,-35.31134
IQV,71.09693,-33.965023,81.3058
IR,35.91615,40.434128,-90.13223
IRM,-7.2105966,119.81682,18.786283
ISRG,89.116646,4.9971976,75.58843
IT,13.173682,-94.35919,123.26801
ITW,-101.231316,-18.144312,-34.811172
IVZ,-68.705,-62.05754,-102.998436
J,26.01082,82.35126,-80.10504
JBHT,4.005724,20.222921,-39.726585
JCI,-7.508794,-43.518898,-24.446589
JKHY,-83.808685,-89.55403,-53.01642
JNJ,30.42581,112.92912,65.38866
JNPR,24.947172,-118.02108,-11.692545
JPM,-80.827896,-45.12575,70.79209
K,-87.69967,83.98534,48.100895
KEYS,147.07475,-49.449467,-28.920189
KHC,-112.969894,38.630608,81.78392
KIM,-68.86468,71.76851,-9.985293
KLAC,82.48457,-76.346756,-56.45276
KMB,-77.38834,49.512917,52.473595
KMI,-56.914318,61.007534,-50.985855
KMX,-138.53859,-21.99402,44.90977
KO,-26.215694,2.2299998,62.026096
KR,-77.648384,-18.504898,11.587521
L,-0.86692643,16.302246,67.29211
LDOS,91.20573,108.39475,29.050407
LH,-22.44841,-67.75468,113.87409
LHX,80.20156,95.20498,-3.8187318
LIN,15.70434,119.95967,-72.133316
LKQ,-107.714226,10.0043125,-39.451565
LLY,15.754748,74.36594,90.5633
LMT,23.023422,42.72766,120.87234
LNC,-53.217903,-50.62613,-80.500465
LNT,-40.752098,26.223083,104.998634
LOW,-138.83463,25.630066,-48.16724
LRCX,101.30093,-85.09746,-51.794502
LUMN,-144.67526,22.782368,-6.7424884
LUV,-78.522835,-106.182,15.669132
LVS,59.759445,1.0514351,-93.98971
LW,-83.93398,50.829483,130.1258
LYB,12.690521,-2.9515464,-124.67857
LYV,104.117325,-2.66614,108.9085
MA,-56.8391,-84.9935,-23.289164
MAA,-12.214603,90.51625,35.38369
MAR,83.24767,22.53023,-17.998924
MAS,-11.199661,-110.30255,-9.0326395
MCD,-6.846693,19.007133,42.03879
MCHP,68.140656,-31.596348,-55.09416
MCK,50.140556,96.12152,26.718464
MCO,58.933846,-45.009453,50.576736
MDLZ,-6.131063,-23.96849,94.86874
MDT,39.919415,5.067954,65.58515
MET,-57.631878,-63.615917,-53.47308
MGM,61.470963,-1.2015588,-77.02271
MHK,-7.959761,-138.17567,-19.229261
MKC,-90.63686,63.66644,97.54191
MKTX,-18.317913,-38.620693,66.48663
MLM,-16.547546,125.07232,-57.368427
MMC,-7.1781993,-22.128319,-104.73699
MMM,33.36068,-33.828133,-70.32881
MNST,-51.724354,-43.474117,67.92381
MO,-36.30543,20.60974,37.137978
MOS,10.091375,26.48585,-129.44556
MPC,-104.973274,23.704308,-82.4988
MPWR,94.14393,-33.65425,-47.10485
MRK,24.483187,77.896904,63.98428
MRO,-34.246788,55.751537,-98.03061
MS,-25.474236,-45.20507,-64.6915
MSCI,63.297882,-67.15382,41.00727
MSFT,-125.85693,13.31674,66.22983
MSI,45.21055,-73.717445,105.806335
MTB,-53.680557,0.27959213,-66.37965
MTCH,69.82498,-74.52003,70.2
MTD,56.712845,9.54352,20.672403
MU,84.034256,-101.28544,-41.50244
NCLH,93.405334,58.3726,-63.064144
NDAQ,-12.518553,-58.828503,54.98283
NEE,-54.152336,10.276751,67.29973
NEM,-86.04131,-8.243551,63.643124
NFLX,88.021805,-58.0796,4.6683187
NI,-33.079945,50.974007,116.406944
NKE,-67.08423,-69.10527,12.354641
NLOK,38.36648,112.5364,-45.856274
NLSN,-6.457151,64.36615,-71.43588
NOC,66.36937,87.831665,-23.930706
NOW,125.18865,-17.589226,40.541603
NRG,-54.905895,-22.038328,105.936
NTAP,35.982517,-121.48656,-77.02571
NTRS,-81.53996,21.398352,-124.14437
NUE,-18.380102,1.950168,-138.6355
NVDA,99.36439,-42.727127,-26.081532
NVR,-117.48707,-9.784231,18.241802
NWL,-11.107459,3.9114456,-67.41682
NWS,-102.493546,-46.825706,9.8547735
NWSA,-103.77463,-44.269928,-4.998426
NXPI,68.52194,-51.410454,-76.83521
O,-49.98675,82.885056,28.36982
ODFL,19.170948,13.584725,-39.32272
OKE,-44.048832,58.77431,-62.514484
OMC,-113.16495,76.83622,-34.836052
ORCL,-13.185976,-135.1523,32.15458
ORLY,-10.132778,25.031786,11.352517
OXY,-70.502884,83.4521,-79.25046
PAYC,94.22999,-50.695797,61.752316
PAYX,13.088467,-33.589367,47.216564
PBCT,49.836235,-58.50306,-52.043034
PCAR,10.378928,-20.342134,-81.29842
PEAK,-59.128117,105.44067,21.305038
PEG,-59.43682,-11.095976,77.63952
PENN,44.32388,-19.44978,-34.167572
PEP,34.00104,73.92256,-35.483746
PFE,26.514378,87.29857,84.11734
PFG,-61.86429,-72.35333,-74.27139
